127.0.0.1, 2013-10-17 18:22:04, GET, /, HTTP/1.1, 303, 0.003541
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/default/index, HTTP/1.1, 200, 1.124988
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000566
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001317
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000434
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001919
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003255
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002184
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000490
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002113
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000391
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000413
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000586
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000520
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000267
127.0.0.1, 2013-10-17 18:22:05, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001449
127.0.0.1, 2013-10-17 18:22:18, GET, /, HTTP/1.1, 303, 0.000944
127.0.0.1, 2013-10-17 18:22:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.020137
127.0.0.1, 2013-10-17 18:22:18, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000284
127.0.0.1, 2013-10-17 18:22:25, GET, /admin, HTTP/1.1, 200, 0.533630
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.000648
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.000922
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.002011
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000938
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.003744
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003776
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002116
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.003157
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001353
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000975
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000293
127.0.0.1, 2013-10-17 18:22:25, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000322
127.0.0.1, 2013-10-17 18:22:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000327
127.0.0.1, 2013-10-17 18:22:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2013-10-17 18:22:27, POST, /admin/default/index, HTTP/1.1, 303, 0.029856
127.0.0.1, 2013-10-17 18:22:27, GET, /admin/default/site, HTTP/1.1, 200, 0.034140
